address,pkca,pkdiv,pkpart
대구광역시 중구 대신동 1029,노외,민영,25
대구광역시 중구 수창동 80-1,노외,민영,15
대구광역시 중구 동문동 13-125,노외,민영,100
대구광역시 중구 동인동1가 226-3,노외,민영,20
경기도 평택시 안중읍 안중리 281-21,노외,공영,30
경기도 평택시 팽성읍 안정리 42-14,노외,공영,32
경기도 평택시 신대동 125-4,노외,공영,25
경기도 평택시 합정동 897-16,노외,공영,13
경기도 평택시 합정동 898-14,노외,공영,5
경기도 평택시 합정동 933-1,노외,공영,13
경기도 평택시 합정동 924-3,노외,공영,5
경기도 평택시 합정동 868-4,노외,공영,30
경기도 평택시 통복동 242-5,노외,공영,24
경기도 평택시 신대동 418-2,노외,공영,50
경기도 평택시 군문동 353,노외,공영,25
경기도 평택시 동삭동 712-12,노외,공영,25
경기도 평택시 세교동 14-3,노외,공영,25
경기도 평택시 오성면 신리 110-1,노외,공영,21
경기도 평택시 이충동 591-1,노외,공영,47
경기도 평택시 서정동 201-9,노외,공영,127
경기도 평택시 서정동 874-6,노외,공영,51
경기도 평택시 서정동 973,노외,공영,25
경기도 평택시 칠괴동 55-1,노외,공영,21
경기도 평택시 지산동 692-40,노외,공영,11
경기도 의왕시 내손동 678-12,노상,공영,21
경기도 의왕시 내손동 681-11,노상,공영,27
경기도 의왕시 오전동 345-16,노상,공영,4
경기도 의왕시 삼동 192-171,노상,공영,5
경기도 의왕시 내손동 713-8,노상,공영,7
경기도 의왕시 삼동 146-130,노상,공영,7
경기도 의왕시 초평동 278-11,노상,공영,7
경기도 의왕시 오전동 150-19,노상,공영,7
경기도 의왕시 초평동 583-30,노상,공영,12
경기도 의왕시 내손동 713-5,노상,공영,14
경기도 의왕시 삼동 208-4,노상,공영,14
경기도 의왕시 내손동 713-3,노상,공영,14
경기도 의왕시 고천동 503-2,노상,공영,16
경기도 의왕시 내손동 713-4,노상,공영,15
경기도 의왕시 삼동 200-80,노상,공영,22
경기도 의왕시 내손동 713-8,노상,공영,32
경기도 의왕시 고천동 373-13,노상,공영,45
경기도 의왕시 월암동 380-2,노상,공영,49
경기도 의왕시 내손동 713-4,노상,공영,55
경기도 의왕시 고천동 306-7,노상,공영,79
경기도 의왕시 내손동 527,노외,공영,221
경기도 의왕시 내손동 666,노외,공영,164
경상북도 예천군 예천읍 동본리 553,노외,공영,26
경기도 안성시 동본동 21,노외,공영,87
경기도 안성시 공도읍 만정리 819,노외,공영,200
경기도 안성시 공도읍 승두리 895,노외,공영,48
경기도 안성시 공도읍 승두리 59-1,노외,공영,32
경기도 안성시 공도읍 양기리 619,노외,공영,9
경기도 안성시 옥산동 546,노외,공영,39
경기도 안성시 옥산동 587,노외,공영,28
경기도 안성시 금산동 8번지,노외,공영,18
경기도 안성시 대덕면 내리 681-12,노외,공영,43
인천광역시 부평구 산곡동 402-15,노외,공영,19
인천광역시 부평구 삼산동 497,노외,공영,101
인천광역시 부평구 부평동 758-26,노외,공영,4
인천광역시 부평구 산곡동 294-151,노외,공영,184
인천광역시 부평구 청천동 454,노외,공영,3
인천광역시 부평구 청천동 9-52,노외,공영,6
인천광역시 부평구 부개동 445-3,노외,공영,101
인천광역시 부평구 부개동 532,노외,공영,13
인천광역시 부평구 부개동 523,노외,공영,22
대전광역시 대덕구 중리동 223-1,노외,공영,50
대전광역시 대덕구 읍내동 247-3,노외,공영,66
인천광역시 부평구 부평동 374-5,노외,공영,107
인천광역시 부평구 삼산2동 428-1,노외,공영,49
인천광역시 부평구 부평4동 239-3,노외,공영,185
인천광역시 부평구 부개동 496-13,노외,공영,51
인천광역시 부평구 삼산동 74-20,노외,공영,156
인천광역시 부평구 갈산동 192,노외,공영,131
인천광역시 부평구 부평동 52-45,노외,공영,434
경상남도 의령군 의령읍 서동리 304,노외,공영,36
경기도 의왕시 오전동 32-128,노상,공영,6
경기도 의왕시 오전동 32-129,노상,공영,8
경기도 의왕시 오전동 838-9,노상,공영,8
경기도 의왕시 오전동 862,노상,공영,77
경기도 의왕시 오전동 844,노상,공영,16
경기도 의왕시 오전동 350,노상,공영,20
경기도 의왕시 오전동 122-1,노상,공영,52
경기도 포천시 신읍동 75-6,노상,공영,62
경기도 포천시 신읍동 29-3,노상,공영,9
경기도 포천시 소흘읍 송우리 146-6,노상,공영,108
경기도 포천시 소흘읍 송우리 726-81,노외,공영,112
경기도 포천시 소흘읍 송우리 729-6,노외,공영,58
경기도 포천시 일동면 기산리 90-148,노상,공영,125
경상북도 포항시 북구 죽도동 557-60,노상,공영,34
경기도 안성시 석정동 332-1,노외,공영,6
경기도 안성시 석정동 338-3,노외,공영,23
경기도 안성시 서운면 신촌리 12-8,노외,공영,35
경기도 안성시 봉남동 9-3,노외,공영,6
경기도 안성시 금산동 191-2,노외,공영,9
경기도 안성시 명륜동 157-2,노외,민영,4
"경기도 안성시 봉산동 47,47-2",노외,민영,30
경기도 안성시 공도읍 만정리 816-3,노외,민영,28
경기도 안성시 도기동 138,노외,민영,96
경기도 안성시 당왕동 545,노외,민영,35
경기도 안성시 당왕동 553-12,노외,민영,38
경기도 안성시 공도읍 승두리 60-1,노외,민영,7
경기도 안성시 석정동 11-1,노외,공영,54
경기도 안성시 서인동 47,노외,공영,74
부산광역시 금정구 구서동 87-50,노외,공영,43
부산광역시 금정구 구서동 1052,노외,공영,66
부산광역시 금정구 청룡동 439-1,노외,공영,115
부산광역시 금정구 구서동 481-1,노외,공영,108
부산광역시 금정구 부곡동 737-165,노외,공영,70
부산광역시 금정구 청룡동 439-1,노외,공영,52
부산광역시 금정구 청룡동 439-1,노외,공영,47
부산광역시 금정구 부곡동 200-103,노외,공영,75
경기도 의왕시 학의동 산77-19,노상,공영,50
경기도 의왕시 내손동 745,노상,공영,71
,노상,공영,33
경기도 의왕시 왕곡동 613,노상,공영,34
경기도 의왕시 왕곡동 607,노상,공영,35
경기도 의왕시 고천동 478-5,노상,공영,28
경기도 의왕시 내손동 655-7,노상,공영,19
경기도 의왕시 포일동 540-4,노상,공영,14
경기도 의왕시 고천동 269,노상,공영,15
경기도 의왕시 고천동 318-11,노상,공영,21
,노상,공영,4
경기도 의왕시 오전동 859,노상,공영,10
경기도 의왕시 오전동 105-2,노상,공영,37
인천광역시 중구 북성동1가 4-17,노외,공영,16
인천광역시 중구 송월동2가 4,노외,공영,100
경기도 포천시 신읍동 10-23,노외,공영,24
경기도 포천시 신읍동 58-2,노상,공영,40
경기도 포천시 신읍동 193-11,노상,공영,51
경기도 포천시 신읍동 37-1,노상,공영,42
경기도 포천시 신읍동 176-18,노상,공영,22
경기도 안성시 대덕면 내리 407,노외,공영,131
경상북도 구미시 원평동 460-1,부설,공영,53
경상북도 구미시 상모동 171,부설,공영,63
경상북도 구미시 사곡동 435-4,부설,공영,83
부산광역시 부산진구 가야동 596-7,노상,공영,41
부산광역시 부산진구 범천동 839-39,노상,공영,28
부산광역시 부산진구 범천동 1234-36,노상,공영,90
부산광역시 부산진구 전포동 870-1,노상,공영,27
부산광역시 부산진구 개금동 630-5,노외,공영,69
부산광역시 부산진구 부전동 474-97,노외,공영,12
부산광역시 부산진구 가야동 484-8,노외,공영,39
강원도 영월군 김삿갓면 와석리 921-3,노외,공영,32
강원도 영월군 김삿갓면 와석리 산 87-1,노외,공영,5
인천광역시 중구 북성동1가 98-143,노외,공영,24
인천광역시 중구 북성동1가 98-139,노외,공영,39
인천광역시 중구 북성동1가 98-154,노외,공영,61
인천광역시 중구 북성동1가 98-39,노외,공영,20
인천광역시 중구 북성동1가 98-115,노외,공영,16
인천광역시 부평구 청천동 178-17,노외,공영,18
인천광역시 부평구 삼산동 428-1,노외,공영,97
인천광역시 부평구 일신동 171-7,노외,공영,6
인천광역시 부평구 산곡동 산132,노외,공영,27
인천광역시 부평구 부평동 374-5,노외,공영,105
인천광역시 부평구 청천동 125-3,노외,공영,107
인천광역시 부평구 부평동 341-193,노외,공영,139
인천광역시 부평구 부평동 416-9,노외,공영,128
인천광역시 부평구 십정동 576-9,노외,공영,73
인천광역시 부평구 부개동 120-74,노외,공영,29
인천광역시 부평구 십정동 173-11,노외,공영,28
대전광역시 대덕구 중리동 363-23,노외,공영,50
대전광역시 대덕구 중리동 164-5,노외,공영,30
전라남도 영광군 영광읍 단주리672,노외,공영,33
전라남도 영광군 백수읍 대신리 산 234-11,노외,공영,70
부산광역시 해운대구 중1동1139-4,노외,민영,33
부산광역시 해운대구 재송1동12201221,노외,민영,290
